"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/1997","2,789.0","3,082.0","3,109.0","2,778.0","395.63K","-10.12%"
"07/01/1997","3,103.0","2,875.0","3,103.0","2,834.0","378.79K","8.01%"
"06/01/1997","2,873.0","2,566.0","2,914.0","2,451.0","485.76K","13.04%"
"05/01/1997","2,541.6","2,623.0","2,799.0","2,537.0","404.14K","-3.04%"
"04/01/1997","2,621.2","2,658.0","2,660.0","2,488.0","406.73K","-2.18%"
"03/01/1997","2,679.6","2,620.0","2,747.0","2,549.0","412.67K","2.60%"
"02/01/1997","2,611.7","2,517.0","2,666.0","2,503.5","322.65K","3.67%"
"01/01/1997","2,519.3","2,318.0","2,522.0","2,245.0","389.69K","8.59%"
"12/01/1996","2,320.0","2,317.5","2,365.5","2,180.5","66.43K","-0.19%"
"11/01/1996","2,324.5","2,159.0","2,335.5","2,159.0","3.92K","7.44%"
"10/01/1996","2,163.5","2,156.5","2,217.5","2,143.5","6.19K","0.07%"
"09/01/1996","2,162.0","2,002.0","2,141.0","2,002.0","1.99K","7.59%"
"08/01/1996","2,009.5","2,034.5","2,067.0","2,022.5","1.18K","-1.95%"
"07/01/1996","2,049.5","2,168.5","2,180.0","1,995.0","2.05K","-5.77%"
"06/01/1996","2,175.0","2,138.5","2,185.5","2,135.0","2.73K","1.71%"
"05/01/1996","2,138.5","2,168.5","2,183.0","2,125.5","1.21K","-1.36%"
"04/01/1996","2,168.0","2,085.0","2,160.5","2,085.0","2.02K","4.78%"
"03/01/1996","2,069.0","2,055.5","2,062.0","1,970.0","2.31K","2.02%"
"02/01/1996","2,028.0","2,020.0","2,032.5","1,986.5","1.19K","-1.72%"
"01/01/1996","2,063.5","1,997.0","1,997.0","1,997.0","0.10K","7.25%"
"12/01/1995","1,924.0","1,924.0","1,924.0","1,924.0","","1.16%"
"11/01/1995","1,902.0","1,916.5","1,959.5","1,879.0","0.40K","-0.63%"
"10/01/1995","1,914.0","1,896.5","1,898.5","1,833.5","0.60K","1.24%"
"09/01/1995","1,890.5","2,000.0","2,005.0","1,767.5","0.49K","-5.33%"
"08/01/1995","1,997.0","2,093.0","2,109.5","1,908.0","0.11K","-2.87%"
"07/01/1995","2,056.0","2,038.0","2,059.0","2,038.0","0.21K","2.62%"
"06/01/1995","2,003.5","2,003.5","2,003.5","2,003.5","","-3.86%"
"05/01/1995","2,084.0","2,100.0","2,108.0","2,100.0","0.20K","2.06%"
